step,multi_scale_projection_error,coarse_only_projection_error
0,0.24001975670335013,0.8555065160239188
1,0.23108094621638378,0.8485540085220173
2,0.23960161766654398,0.8466226099570026
3,0.25271647027217053,0.8461088409423572
4,0.266949632982031,0.8460140389029371
5,0.2927758082026436,0.8496479027434298
6,0.33631720520682357,0.8592975271940106
7,0.3602852937079862,0.8658487918214135
8,0.3766255147594457,0.8695694237103397
9,0.39099032451692295,0.8721313026979896
10,0.40632619796686364,0.8757238322734878
11,0.4197871336134183,0.8807716743827113
12,0.42122453437354357,0.881858665833274
13,0.3991223222451399,0.8747883736795142
14,0.3825319907617345,0.8626354293372169
15,0.3802943043878827,0.8531825901098667
16,0.3838430616515247,0.8467042922030328
17,0.3885425023810249,0.8446989767667906
18,0.4001430436539946,0.8467042922030326
19,0.4222552354416931,0.8531825901098692
20,0.44790858971625785,0.8626354293372167
21,0.46691675628329227,0.8747883736795162
22,0.46638302020013095,0.8818586658332748
23,0.4495023970215101,0.8807716743827092
24,0.4297879076678171,0.8757238322734874
25,0.41343941775309595,0.8721313026979894
26,0.3972587978630179,0.8695694237103385
27,0.37150207459965007,0.8658487918214128
28,0.33533957163598127,0.859297527194011
29,0.3030943352348762,0.8496479027434284
30,0.28682014410205825,0.8460140389029368
31,0.2829032452754858,0.8461088409423582
32,0.2841057369554047,0.8466226099570057
33,0.2908917763818285,0.8485540085220203
34,0.3130748790901752,0.8555065160239215
