time,rom_error_norm,calculix_error_norm,rom_cumulative_relative,calculix_cumulative_relative
0.005,1.9090536594088814e-07,2.9051585703264958e-05,0.0065175824584130255,0.9918322852554672
0.01,8.490031114590695e-07,7.693666391664708e-05,0.0062353360155911275,0.5892742313514456
0.015,1.7776236024159715e-06,9.993856275921492e-05,0.005734065167428584,0.37496850788230973
0.02,2.3334758082852113e-06,9.651493767767467e-05,0.004942087846710847,0.2607696374502564
0.025,1.8639728114880407e-06,7.789326428156677e-05,0.003878974962611547,0.19407472477365023
0.03,6.871808512366725e-07,5.979343739342769e-05,0.0029686753848294743,0.15377240730800792
0.035,3.625806823462646e-06,4.90458512986786e-05,0.0033774818346478845,0.1281974381052472
0.04,7.493191184225949e-06,4.719850761984841e-05,0.005019869424174693,0.11093584660507393
0.045,1.0493998597668163e-05,6.171639024081265e-05,0.006588353300252432,0.0997182437610749
0.05,1.0885766840984543e-05,8.4429396364079e-05,0.007253711007849875,0.09310903419910722
0.055,7.3371980142839665e-06,0.00010023128606170916,0.006819494244494869,0.0883872054026687
0.06,2.1348878316034776e-06,0.00010418013290155025,0.005966094380676616,0.08337157246400306
0.065,1.1923890066553292e-05,0.00010306680634851005,0.0061314642094119284,0.07798917403499397
0.07,2.2646728460972587e-05,0.00010852178345565868,0.007627567413962048,0.07328078033234219
0.075,2.9327731945025388e-05,0.00012570311739384666,0.009148169614332777,0.07000805282996732
0.08,2.8264869703088334e-05,0.00015219049318888916,0.009679696108020374,0.06828168298201497
0.085,1.7666654745755327e-05,0.00018269285444378868,0.00906277938863116,0.0676483472807729
0.09,1.2489045840588954e-06,0.00020901677438300351,0.00801423366093779,0.06717820424110618
0.095,2.3918064516349694e-05,0.00022251239006001216,0.007720455942961256,0.06590656351213602
0.1,4.3698905016585735e-05,0.00021980126019995947,0.008456607477270329,0.06344878518908548
0.105,5.367535564787074e-05,0.00020592710704944598,0.009281358582695552,0.06012556169526694
0.11,4.9230952684893466e-05,0.00019181648748846226,0.009435268386102062,0.05656894888245406
0.115,3.0105830128288755e-05,0.00018756578437515226,0.008862895394813594,0.053301504115594416
0.12,7.359671935961828e-06,0.00019746333472461797,0.008069106641487385,0.05059884496379253
0.125,3.417249234408136e-05,0.00021992840351068004,0.007722149968405944,0.04853990084139172
0.13,5.927093543008333e-05,0.000248308429557242,0.007971554142930715,0.04703510631078393
0.135,6.988233140933771e-05,0.0002728728054312471,0.008322816368615793,0.045835894563470585
0.14,6.268074110804603e-05,0.00028577707038859293,0.008312556052024151,0.04464411347935942
0.145,4.0744825246114196e-05,0.00028518615389397676,0.007889059847539027,0.0432732656044833
0.15,1.9263475528306346e-05,0.00027537408615461957,0.007321106294206775,0.04171047024592254
0.155,3.463896394300963e-05,0.0002633956067920533,0.006917356310431084,0.04005385260371187
0.16,5.555013142150428e-05,0.0002550838793099151,0.0067586723640114576,0.03841834460537039
0.165,6.419959898591864e-05,0.0002523905907122177,0.0066925250335252325,0.03687816710712949
0.17,5.9433426204941435e-05,0.0002523964004777755,0.006553886132248975,0.035447497256950754
0.17500000000000002,4.5834956301739926e-05,0.0002489247223277035,0.006301455247993454,0.034089344620870723
0.18,3.136585611780684e-05,0.00023669975038154853,0.005988542608940104,0.032751050904614276
0.185,2.4706177427198144e-05,0.00021539645050326072,0.0056810395629074695,0.03140813689794182
0.19,2.7164956100341726e-05,0.0001904506386627802,0.005413236905135622,0.030081040962956912
0.195,3.2702383399835595e-05,0.00017048142833045996,0.0051931255034116325,0.028816478259321317
0.2,3.809462517617147e-05,0.0001629257694245202,0.005016655222017463,0.027659054995527645
0.20500000000000002,4.095669060290106e-05,0.00016999101328799858,0.004868282843217164,0.02663633130398347
0.21,3.905980843874489e-05,0.0001868720502685828,0.004724098703587023,0.025753245113708818
0.215,3.235147630615105e-05,0.00020428476306148287,0.004567432981152517,0.02498735322158249
0.22,2.366306717035207e-05,0.00021347434951539808,0.004399136504990479,0.02429285084456561
0.225,1.693249681913886e-05,0.00021064867997794596,0.004229783561370056,0.023622363270246347
0.23,1.5082462379605628e-05,0.00019836197232089479,0.00406897359101046,0.022951346899252958
0.23500000000000001,2.248704064676773e-05,0.00018342468008904176,0.0039298036691213165,0.022283668044704566
0.24,3.850035916797684e-05,0.00017220606568366705,0.003835923920105884,0.021637136915101968
0.245,5.5936847693094804e-05,0.00016711622502924524,0.0038041642548905276,0.02102695538944115
0.25,6.661129649139662e-05,0.0001672109518096864,0.0038131493330974863,0.02045954005865148
0.255,6.383856475191266e-05,0.0001704245370801477,0.003805910667655105,0.01993406418541016
0.26,4.482341730216253e-05,0.0001742624105829469,0.0037377132486701766,0.019444863912258123
0.265,1.223075049082699e-05,0.0001762178838808965,0.003622261468512619,0.018983474478238303
0.27,2.7970850977975242e-05,0.00017497292786738735,0.003529375253784152,0.01854178186841817
0.275,6.423688655095995e-05,0.00017112592793585784,0.003523803954537581,0.01811516597903042
0.28,8.793674978927698e-05,0.00016638539841090226,0.003597366105321611,0.017702911862651542
0.28500000000000003,9.293022592476439e-05,0.00016211372949094375,0.0036769737783628365,0.017306012789605935
0.29,7.845844320269834e-05,0.00015822006385827583,0.0036952705982618095,0.016924381449700977
