patch_id,basis_column,static_completeness_error,gate_threshold,passed
0,0,0.0,1e-06,1
1,0,0.0,1e-06,1
2,0,0.0,1e-06,1
3,0,0.0,1e-06,1
4,0,2.5444197087277054e-18,1e-06,1
5,0,1.1211684418208221e-17,1e-06,1
6,0,1.6713392334259178e-18,1e-06,1
7,0,2.180325280528857e-17,1e-06,1
8,0,2.6009665353910134e-20,1e-06,1
9,0,2.1595842587837907e-17,1e-06,1
10,0,0.0,1e-06,1
11,0,9.400937659120692e-21,1e-06,1
12,0,2.159584451862748e-17,1e-06,1
13,0,1.7882078017634498e-21,1e-06,1
14,0,1.4337160623199278e-20,1e-06,1
15,0,3.1144802623477122e-21,1e-06,1
16,0,1.2795373448443478e-20,1e-06,1
17,0,1.0544764249476715e-20,1e-06,1
18,0,2.491584209878191e-20,1e-06,1
19,0,2.93180597649021e-20,1e-06,1
20,0,2.5630701248923978e-20,1e-06,1
21,0,2.1595680400934747e-17,1e-06,1
22,0,3.114480262347739e-21,1e-06,1
23,0,4.48481095802122e-21,1e-06,1
